,App ID,VM,Host Environment,OS,# of CPUs,PeakCPU%,Memory,MemUsed,Disk (GB),Environment,Target Region,DB Instance Count,RDS,cores_calc,calc_family,mem_cpu_ratio,AWS_Region,AWS_OS,ec2_instance_type,one_hr_rate,one_yr_rate,three_yr_rate,AWS_DB,ebs_month_rate
1081,8615,ODC005QMTS05,Staging,Microsoft Windows Server 2008 R2 (64-bit),2,1,8,8,95.0,,,,False,3.0,c,2.6666666666666665,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,14.344999999999999
1082,8615,ODC005QMTS06,Staging,Microsoft Windows Server 2008 R2 (64-bit),2,1,8,8,95.0,,,,False,3.0,c,2.6666666666666665,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,14.344999999999999
1083,8615,ODC005QMTS07,Staging,Microsoft Windows Server 2008 R2 (64-bit),2,1,8,8,95.0,,,,False,3.0,c,2.6666666666666665,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,14.344999999999999
1084,8615,ODC005QMTS08,Staging,Microsoft Windows Server 2008 R2 (64-bit),2,1,8,8,95.0,,,,False,3.0,c,2.6666666666666665,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,14.344999999999999
1085,8615,ODC005QMTS09,Staging,Microsoft Windows Server 2008 R2 (64-bit),2,1,8,8,95.0,,,,False,3.0,c,2.6666666666666665,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,14.344999999999999
1086,8615,ODC005QMTS10,Staging,Microsoft Windows Server 2008 R2 (64-bit),2,1,8,8,95.0,,,,False,3.0,c,2.6666666666666665,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,14.344999999999999
1087,9099,ODC005RMST01,Test,Microsoft Windows Server 2012 (64-bit),2,1,4,4,135.0,,,,False,3.0,c,1.3333333333333333,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,20.384999999999998
1088,9099,ODC005RMST02,Test,Microsoft Windows Server 2012 (64-bit),4,1,8,8,165.0,,,,False,5.0,c,1.6,us-east-1,Windows,c5.2xlarge,0.708,4975.0,12930.0,,24.915
1089,9099,ODC005RMST03,Test,Microsoft Windows Server 2012 (64-bit),8,1,24,24,1470.0,,,,False,9.0,c,2.6666666666666665,us-east-1,Windows,c5.4xlarge,1.416,9950.0,25860.0,,221.97
1090,7222,ODC005SCLD01,Development,Red Hat Enterprise Linux 6 (64-bit),1,1,4,4,108.0,,,,False,2.0,c,2.0,us-east-1,RHEL,c5.large,0.145,963.0,2392.0,,16.308
1091,7995,ODC005SCLD01,Development,Red Hat Enterprise Linux 6 (64-bit),1,1,4,4,108.0,,,,False,2.0,c,2.0,us-east-1,RHEL,c5.large,0.145,963.0,2392.0,,16.308
1092,10695,ODC005SCLD01,Development,Red Hat Enterprise Linux 6 (64-bit),1,1,4,4,108.0,,,,False,2.0,c,2.0,us-east-1,RHEL,c5.large,0.145,963.0,2392.0,,16.308
